VariableName,Electricity:Facility,Gas:Facility
KeyValue,,
0,863614428.913123,51950433.85773857
1,862213977.0950032,53836740.36037686
2,863631239.8663572,66338982.00838299
3,862231200.1113414,68549237.36812584
4,907653176.3002009,84869022.27488789
5,994263896.9667628,98484772.66898
6,1171680988.9642754,106742585.64444377
7,1135259914.0945861,112721594.36947192
8,1075121499.9906902,92358590.0232994
9,941711413.3459208,84234635.67369731
10,767113308.5176414,82779657.3312534
11,765714850.4289069,89374803.82291041
12,767119698.1676604,83619180.38158923
13,765732450.2637157,97863810.78738089
14,767147868.8975121,111938185.1937607
15,765767745.1261957,122063776.33029924
16,1066226587.1736904,142504174.58934483
17,1263979737.949095,171584994.61162937
18,1321632864.6351848,381938580.618175
19,1223838378.7104456,406228352.537713
20,1242156367.4541507,520155152.5077872
21,1138744621.1316996,514617892.5019809
22,1066280285.784239,627983335.5308661
23,962871245.3071473,613168966.1692271
24,1113767811.9318204,673426788.9775953
25,1098323387.262183,631941178.0611191
26,1113843141.4100266,732378819.3618745
27,1098402589.2470179,695325230.3485415
28,1194827846.4281762,764479866.0661861
29,1320157216.0972934,717210930.4579148
30,1558062883.9933574,6153352796.624131
31,1875702648.1909633,5922719333.982157
32,3780511126.169848,3764514258.224684
33,3647282057.056066,3327283433.8771143
34,3470483959.3663287,2910245562.5656996
35,3470021587.485307,2653303737.0512137
36,3290863791.130789,2861209294.9806995
37,3469741011.339295,2488409878.7441607
38,3469628572.7672215,2410549557.182623
39,3469661555.2586064,2438817713.533917
40,3768776960.751502,2491920101.1077166
41,3424225170.47727,2604895412.4001684
42,2707016175.96421,2907306123.753632
43,2619134280.8847113,2968688823.544844
44,2081788797.7827249,3528991771.0191426
45,1994049344.7340088,3638657415.403858
46,1257684974.1970274,7886613.033970813
47,1079971847.0272162,7886202.540360825
48,1037384884.7157199,23317704.33933307
49,1043036066.9663519,46283390.37878276
50,1041640848.5226357,51665848.10971899
51,1043063520.5784855,67702874.0456693
52,1085673214.9039314,84621640.24453336
53,1264807446.350354,95551019.14180589
54,1548813230.77694,4503916302.51997
55,1871111889.467961,5027623405.795013
56,3779600929.5921917,3367717433.353199
57,3646575577.4378433,2890140397.2395253
58,3469726999.587441,2443306784.084177
59,3469003087.8081894,2020050261.7284565
60,3289204521.934571,1807344631.3757546
61,3467979779.2964544,1341485770.7475138
62,3467687206.3683667,1119142992.5897615
63,3467636778.031207,1089224365.83188
64,3766757238.726276,1159774510.5477283
65,3422306919.9625454,1389096917.5921211
66,2705050611.23124,1699193664.1247194
67,2617228487.530052,1794522923.0877037
68,2079430924.7410889,2112847423.7336614
69,1991724768.8303897,2305248710.023579
70,1257684980.8011143,7886418.137766363
71,1079971853.96733,15700322.100575926
72,1035971943.0810928,7885969.931873245
73,1035971938.7952814,7886271.25938748
74,1035971942.1890714,7886569.469904194
75,1040204514.825862,36411446.49621158
76,1087035395.2218099,49953718.781996764
77,1263346166.9034762,53721175.58815812
78,1545581251.357689,3550020778.245354
79,1868016904.0069084,3707805693.289989
80,3777772772.5122876,2429529106.5881624
81,3644981051.394331,1993853450.4764626
82,3468160209.6855774,1451887094.2577326
83,3467662778.8838105,1098300040.6366475
84,3288245463.347527,1121119348.5220838
85,3467380672.4750285,887058435.6182063
86,3467261870.2246494,795873124.9529129
87,3467251384.4334126,786330901.3290337
88,3766361319.513501,864413815.0096706
89,3421798916.4118776,1019008928.9356247
90,2704452544.0370946,1279440870.7065876
91,2616589584.1109123,1347762408.7438874
92,2078788397.3655164,1685604288.8741112
93,1991114165.4645605,1900293509.5684838
94,1257684992.2566032,15700560.772865456
95,1079971854.2715585,7886308.455569636
96,1035971944.959723,7886638.900287343
97,1035971948.699387,7885634.7631739685
98,1035971952.4009849,15700198.42661949
99,1038794723.0016067,22792794.803701293
100,1085621868.2197187,41457564.58525576
101,1264769127.7070184,70944581.47310564
102,1545180938.541238,3338510349.0171733
103,1867382207.0725622,3339658479.9507732
104,3776994855.36719,1931363127.536839
105,3643987466.1408386,1276908754.218454
106,3471259766.0537586,945814886.6326218
107,3480374071.543313,792687051.7762868
108,3304827304.8681393,839852114.9201031
109,3483037049.5282073,596688093.2119015
110,3476937129.2800198,375259612.39440364
111,3468518085.405832,395258189.7219557
112,3765969093.6549797,547533891.0433335
113,3421413099.5465736,717055784.6365316
114,2703980669.3273273,906184467.0874157
115,2616081206.962875,966686667.0908854
116,2078135074.7119944,1213185382.6580124
117,1990254251.108213,1286873063.7000751
118,1257684989.3347027,7885549.397305207
119,1079971861.5109556,7885856.324521981
120,1035971957.999383,15700695.621129986
121,1035971951.9849981,7885519.942815159
122,1035971949.6436034,7885838.8864206225
123,1035971956.3915292,7886160.140381501
124,1081381703.0667775,22175743.91470061
125,1264738915.1102042,47828709.00776396
126,1543445068.117412,2669923166.445371
127,1865443542.0820274,2194703690.814037
128,3775775092.310899,1088546039.765422
129,3643389677.4830017,840592416.84583
130,3467419394.0041614,845419697.2204258
131,3467349646.6913543,847561603.665702
132,3288060634.004264,960652304.2389781
133,3467322337.6966205,822913338.3916403
134,3467217905.6868167,742430014.740011
135,3467185679.492865,718349017.952663
136,3766368254.147156,856193333.6321859
137,3421897613.779639,1078927693.1327984
138,2704563670.244418,1344856670.8256433
139,2616622116.872271,1366207065.3703387
140,2078631069.1835349,1556744743.0932708
141,1990702299.0739934,1579985327.4829535
142,1257684999.382125,7886788.496183835
143,1079971862.138035,7885785.516440251
144,856545343.9602288,7886127.168663341
145,856545346.1270131,15701271.864723222
146,856545337.3285973,7885811.527027681
147,856545338.3884101,7886143.732579643
148,903365647.0915029,20952584.47833184
149,994192284.1719899,42887038.4440145
150,1543423526.3292484,2681507133.0771427
151,1506493709.0312858,2101897650.3608847
152,2340561193.9774375,1189808000.1938787
153,2208239540.5297437,1001061431.3559808
154,2035508849.1320157,1062068307.0685174
155,2043307775.572054,1024293184.6129941
156,2047929201.2181334,990071721.358528
157,2047644965.9747217,893542184.7039641
