VariableName,Electricity:Facility,Gas:Facility
KeyValue,,
0,1136903852.840002,2317649115.7239547
1,1137098889.6111813,2391587971.5684543
2,1436344698.61405,2489530795.229797
3,1361368436.386806,2806546499.3207235
4,1252548116.1833403,7892912.5962943975
5,1164548301.2327993,15714518.04214631
6,1164548298.1866858,15714261.708400872
7,1076552083.4031537,15728289.315674862
8,992778129.3383707,26806021.87136716
9,906196421.2033693,38463303.474340804
10,863614428.9131234,51950433.85773857
11,862213977.0950034,53836740.36037686
12,863631239.8663574,66338982.00838299
13,862231200.1113416,68549237.36812584
14,907653176.3002012,84869022.27488789
15,994263896.9667628,98484772.66898
16,1171680988.9642754,106742585.64444377
17,1135259914.0945861,112721594.36947192
18,1075121499.9906902,92358590.0232994
19,941711413.3459207,84234635.67369731
20,767113308.5176415,82779657.3312534
21,765714850.4289068,89374803.82291041
22,767119698.1676605,83619180.38158923
23,765732450.2637157,97863810.78738089
24,767147868.897512,111938185.1937607
25,765767745.1261955,122063776.33029924
26,1066226587.1736902,142504174.58934483
27,1263979737.9490952,171584994.61162937
28,1321632864.6351848,381938580.618175
29,1223838378.7104456,406228352.537713
30,1242156367.4541507,520155152.5077872
31,1138744621.1316996,514617892.5019809
32,1066280285.784239,627983335.5308661
33,962871245.307147,613168966.1692271
34,1113767811.9318204,673426788.9775953
35,1098323387.262183,631941178.0611191
36,1113843141.4100266,732378819.3618745
37,1098402589.2470179,695325230.3485415
38,1194827846.428176,764479866.0661861
39,1320157216.0972936,717210930.4579148
40,1558062883.9933572,6153352796.624131
41,1875702648.1909635,5922719333.982157
42,3780511126.169848,3764514258.224684
43,3647282057.056066,3327283433.8771143
44,3470483959.3663287,2910245562.5656996
45,3470021587.485307,2653303737.0512137
46,3290863791.130789,2861209294.9806995
47,3469741011.339294,2488409878.7441607
48,3469628572.767222,2410549557.182623
49,3469661555.2586064,2438817713.533917
50,3768776960.751502,2491920101.1077166
51,3424225170.47727,2604895412.4001684
52,2707016175.96421,2907306123.753632
53,2619134280.8847113,2968688823.544844
54,2081788797.7827249,3528991771.0191426
55,1994049344.7340088,3638657415.403858
56,1257684974.1970272,7886613.033970813
57,1079971847.027216,7886202.540360825
58,1037384884.7157198,23317704.33933307
59,1043036066.9663521,46283390.37878276
60,1041640848.5226362,51665848.10971899
61,1043063520.5784856,67702874.0456693
62,1085673214.9039316,84621640.24453336
63,1264807446.350354,95551019.14180589
64,1548813230.7769403,4503916302.51997
65,1871111889.467961,5027623405.795013
66,3779600929.5921917,3367717433.353199
67,3646575577.4378433,2890140397.2395253
68,3469726999.5874414,2443306784.084177
69,3469003087.8081894,2020050261.7284565
70,3289204521.934571,1807344631.3757546
71,3467979779.2964544,1341485770.7475138
72,3467687206.3683667,1119142992.5897615
73,3467636778.031207,1089224365.83188
74,3766757238.7262754,1159774510.5477283
