VariableName,Electricity:Facility,Gas:Facility
KeyValue,,
0,-0.7307368655029436,-0.6202226586261399
1,-0.7306761871419878,-0.6081064265895297
2,-0.6375771007317279,-0.5920567059893441
3,-0.6609031467641573,-0.5401078925252425
4,-0.6947584994174587,-0.9987184006207231
5,-0.7221363343935494,-0.9974366877053913
6,-0.7221363353412331,-0.9974367297103575
7,-0.7495130502606702,-0.9974344310306889
8,-0.7755761674498289,-0.9956191422146629
9,-0.8025128117893696,-0.9937088837016723
10,-0.8157605982594973,-0.9914987710434925
11,-0.8161962962071578,-0.991189665269308
12,-0.815755368163233,-0.9891409446195918
13,-0.816190937912946,-0.9887787539081866
14,-0.8020595971926792,-0.9861044590674096
15,-0.7751139266943705,-0.9838732696712099
16,-0.7199172666857583,-0.9825200761847422
17,-0.7312483152566516,-0.9815403063974776
18,-0.749958122521424,-0.9848771565935316
19,-0.7914636568041868,-0.9862084148992
20,-0.8457832949058511,-0.9864468396760503
21,-0.8462183725795471,-0.9853661044618565
22,-0.8457813070064008,-0.9863092684902134
23,-0.8462128970524306,-0.9839750256174903
24,-0.8457725427425956,-0.9816686823000272
25,-0.8462019163825165,-0.9800094192465637
26,-0.7527254403318923,-0.9766598866442717
27,-0.691201979959005,-0.9718944631172168
28,-0.6732653764655256,-0.9374241859039951
29,-0.7036904551855653,-0.9334438631179298
30,-0.6979915014638909,-0.9147748760493589
31,-0.7301641796336876,-0.9156822572403593
32,-0.7527087340274656,-0.8971052587598877
33,-0.7848805703751772,-0.8995328637669108
34,-0.7379347750705976,-0.8896585188797976
35,-0.7427397273326409,-0.8964566939706007
36,-0.7379113391346889,-0.8799981519319048
37,-0.7427150866118416,-0.8860700592822013
38,-0.7127159919533292,-0.8747378090980167
39,-0.6737244690462976,-0.8824836875730351
40,-0.5997090620912284,0.008327449306366308
41,-0.5008873878532308,-0.02946605610916153
42,0.09172217843363328,-0.38312737777556427
43,0.050272960952149504,-0.4547756344444911
44,-0.004731122242307648,-0.5231149069305281
45,-0.004874971874983648,-0.5652195181296924
46,-0.06061318662044445,-0.5311503950305697
47,-0.004962262597448144,-0.5922403886292567
48,-0.004997243633179548,-0.6049992244498795
49,-0.004986982370621898,-0.6003669707087644
50,0.08807153388868527,-0.5916651745801458
51,-0.01912280578289538,-0.5731521063105149
52,-0.2422554283478681,-0.5235965876692635
53,-0.2695965769880657,-0.5135379111424312
54,-0.4367714280918121,-0.4217220391647446
55,-0.46406826124777134,-0.40375132026960725
56,-0.6931603591137163,-0.9987194329190725
57,-0.7484491193397991,-0.9987195001859482
58,-0.7616984520452421,-0.9961907667570332
59,-0.7599402990858912,-0.9924274196270869
60,-0.7603743688658007,-0.9915454056163153
61,-0.7599317579263114,-0.9889174459975493
62,-0.7466753530091036,-0.9861449971315605
63,-0.690944469599117,-0.9843540187721728
64,-0.6025867440441672,-0.26196284750657106
65,-0.5023156298876493,-0.17614387303060308
66,0.09143900497795188,-0.4481497850960682
67,0.05005316637175694,-0.5264095054936794
68,-0.004966621827409813,-0.599631354505424
69,-0.00519183976952409,-0.6689896665498494
70,-0.06112940586772919,-0.7038453691897014
71,-0.005510203752217226,-0.7801848524994435
72,-0.00560122682252895,-0.8166197778313895
73,-0.005616915704302672,-0.8215224912947625
74,0.08744317329116247,-0.8099615614719996
75,-0.019719597333700985,-0.7723828964628017
76,-0.24286693993939046,-0.7215678805706353
77,-0.27018949296171535,-0.7059464402835045
78,-0.4375049916687896,-0.6537831565984568
79,-0.46479146567171753,-0.622254691595785
80,-0.6931603570591027,-0.9987194648563754
81,-0.7484491171806434,-0.997439013969709
82,-0.7621380357298828,-0.9987195383030976
83,-0.762138037063252,-0.9987194889250806
84,-0.7621380360074017,-0.9987194400578405
85,-0.7608212301113952,-0.9940451179450752
86,-0.7462515618003207,-0.9918259692790125
87,-0.691399091777278,-0.9912086026680473
88,-0.6035922529675226,-0.41827605223213393
89,-0.5032785182897864,-0.39242011193224313
90,0.09087024261325682,-0.6018890786149014
91,0.04955708952308546,-0.6732824925629537
92,-0.005454069618062049,-0.7620935791422809
93,-0.005608826516249054,-0.8200352762091702
94,-0.06142778090116829,-0.8162959158133822
95,-0.005696593322459532,-0.8546510715573178
96,-0.00573355417751942,-0.8695934502259115
97,-0.005736816437357461,-0.8711571178571134
98,0.08731999790860856,-0.858361806252091
99,-0.019877643545335163,-0.8330285731277867
100,-0.24305300606867852,-0.790352042632398
101,-0.2703882637475937,-0.7791563107198167
102,-0.43770488991250683,-0.7237947479178284
103,-0.464981431959657,-0.6886139977698595
104,-0.693160353495158,-0.997438974858895
105,-0.7484491170859942,-0.9987194828298067
106,-0.7621380351454177,-0.9987194286804041
107,-0.7621380339819619,-0.9987195932266109
108,-0.7621380328303489,-0.9974390342359457
109,-0.7612598338509233,-0.9962767827720135
110,-0.7466913276000472,-0.9932182193279316
111,-0.6909563910047967,-0.9883862330251951
112,-0.6037167952547281,-0.45293589933716993
113,-0.5034759803860208,-0.45274775711288173
114,0.09062822293133466,-0.6835226733735891
115,0.049247972815055,-0.7907669761685414
116,-0.0044897591499675205,-0.8450227538614694
117,-0.0016541855552398852,-0.8701155465101008
118,-0.05626896413540395,-0.8623866894356326
119,-0.0008257000424420875,-0.9022335558270748
120,-0.0027234609640538485,-0.9385186568400149
121,-0.005342730038352837,-0.9352415246672868
122,0.08719797157441689,-0.9102883696627303
123,-0.01999767596216695,-0.882509111049635
124,-0.24319981214935793,-0.8515169219606861
125,-0.270546426190008,-0.8416025314065622
126,-0.4379081467012207,-0.8012092145175524
127,-0.4652489619920201,-0.7891341420600745
128,-0.6931603544041975,-0.9987196072153677
129,-0.7484491148337278,-0.9987195569197371
130,-0.7621380310886177,-0.9974389527615438
131,-0.7621380329597673,-0.9987196120420239
132,-0.7621380336882044,-0.9987195597772885
133,-0.7621380315888409,-0.9987195071339593
134,-0.7480104956220919,-0.9963778978307216
135,-0.6909657905187643,-0.9921741909442059
136,-0.6042568460949497,-0.5624961210665953
137,-0.5040791231337028,-0.6403695121179094
138,0.09024873950078605,-0.8216336474104992
139,0.049061993341870336,-0.8622653774433545
140,-0.00568454657400674,-0.8614743393828335
141,-0.005706245828955405,-0.8611233488894688
142,-0.06148528360457096,-0.842591371978569
143,-0.005714741996266871,-0.8651624173596184
144,-0.005747232091072528,-0.8783510799823073
145,-0.00575725806010907,-0.882297191149648
146,0.08732215535923427,-0.8597088822743615
147,-0.019846937568866355,-0.8232097891870842
148,-0.24301843332591389,-0.7796324689515463
149,-0.2703781424016307,-0.7761338168366049
150,-0.43775383666319934,-0.744910738136779
151,-0.4651095687072113,-0.7411023438910792
152,-0.6931603512783198,-0.998719404166384
153,-0.7484491146386356,-0.9987195685229346
154,-0.8179598783532236,-0.9987195125369775
155,-0.8179598776791102,-0.9974388583335059
156,-0.8179598804164063,-0.9987195642606248
157,-0.8179598800866855,-0.9987195098226773
158,-0.8033935007605093,-0.9965783348455975
159,-0.7751362063239193,-0.9929839739265771
160,-0.6042635480126953,-0.5605978765507473
161,-0.6157528726692194,-0.6555774769651646
162,-0.35626412289613385,-0.8050400256263924
163,-0.397431032098051,-0.8359695984204798
164,-0.4511696946969544,-0.8259725075334328
165,-0.44874335185536945,-0.8321626513171702
166,-0.44730556896044216,-0.8377704631325904
167,-0.4473939980735363,-0.8535885908427742
168,-0.7285668516734463,-0.8532412376605434
169,-0.7307324493242207,-0.8535752462450645
170,-0.6247928399288207,-0.7979997554444366
171,-0.6385019455749504,-0.7124247835326367
172,-0.6947584811057032,-0.9987183705287975
173,-0.7221363193574006,-0.99743658452006
174,-0.7221363171014556,-0.9974365716806441
175,-0.7495130283618285,-0.9974343394097938
176,-0.7768931221940643,-0.9987196077372564
177,-0.8042709589396618,-0.9974390531161935
178,-0.8179604416903306,-0.9987200234843862
179,-0.817960441859872,-0.9987201631934783
180,-0.8162078313030547,-0.9954296664482962
181,-0.8157678230725001,-0.9938170970049118
182,-0.8025142563963782,-0.9934679650455368
183,-0.7746935239506485,-0.9900020747766157
184,-0.7203750642984705,-0.9909669302745779
185,-0.730836646330979,-0.9907370484590383
186,-0.7504192610292212,-0.9943277403814174
187,-0.7910501916936135,-0.9943931691516081
188,-0.84624341406734,-0.9950070862423098
189,-0.8458049841403562,-0.9944360518508013
190,-0.8240009639452412,-0.9938441110576152
191,-0.8275495679829463,-0.9937745383871891
192,-0.834053743672633,-0.9963320072331456
193,-0.8458091565391977,-0.995671255261613
194,-0.7627811532772164,-0.9949798824991365
195,-0.6925660288601195,-0.9925177017556598
196,-0.693001619211541,-0.9910081685059163
197,-0.7199390488310857,-0.9903092064313808
198,-0.7203723978902696,-0.9891091849072415
199,-0.7473026504170615,-0.9847553309985364
200,-0.7751076522774407,-0.9803631555756455
201,-0.8020366403929996,-0.9753819979851364
202,-0.7603300620011819,-0.9712953221042935
203,-0.7185705035444481,-0.9505304087805228
204,-0.6968441416540929,-0.9281272768458951
205,-0.714983301714868,-0.9063571577815699
206,-0.7290499676947048,-0.9012484527842828
207,-0.6689229380169036,-0.8833736618234725
208,-0.6010981581393664,-0.11251343208797593
209,-0.5013346780048311,-0.022819791360341513
210,0.09197360912000607,-0.33394321492785406
211,0.05056426859939589,-0.40652116856293996
212,-0.004357237213584052,-0.4506843463888789
213,-0.00447334089443019,-0.4883538423558569
214,-0.06029513742238279,-0.48512762707756973
215,-0.004597037814161987,-0.5214945062165406
216,-0.004692338013520202,-0.549530252014766
217,-0.004691717102308201,-0.5482415494344438
218,0.0788610689548157,-0.5128062209454027
219,-0.018704749327149276,-0.4724803951105352
220,-0.24180524643431497,-0.42114517291405185
221,-0.26914554086398246,-0.4157562328059837
222,-0.4364722789278025,-0.3777380672291877
223,-0.4637367390128156,-0.3494160287859476
224,-0.6931603453982037,-0.99743920753155
225,-0.7471303828922775,-0.9952989721359148
226,-0.7603696199077671,-0.9907113219174948
227,-0.7599222247293569,-0.9867189499138599
228,-0.7603387514236317,-0.9789204424832109
