VariableName,Electricity:Facility,Gas:Facility
KeyValue,,
0,1136903852.8400018,2317649115.723954
1,1137098889.611181,2391587971.5684543
2,1436344698.6140497,2489530795.229797
3,1361368436.386806,2806546499.320723
4,1252548116.1833403,7892912.596294644
5,1164548301.2327993,15714518.042146042
6,1164548298.1866858,15714261.708400777
7,1076552083.403154,15728289.31567493
8,992778129.3383708,26806021.87136714
9,906196421.2033694,38463303.47434094
10,863614428.9131231,51950433.85773824
11,862213977.0950032,53836740.36037658
12,863631239.8663572,66338982.00838317
13,862231200.1113415,68549237.36812551
14,907653176.3002009,84869022.27488786
15,994263896.9667628,98484772.66897991
16,1171680988.9642754,106742585.64444393
17,1135259914.0945861,112721594.36947201
18,1075121499.9906902,92358590.02329908
19,941711413.3459208,84234635.67369759
20,767113308.5176414,82779657.33125348
21,765714850.428907,89374803.82291068
22,767119698.1676605,83619180.38158931
23,765732450.263716,97863810.78738077
24,767147868.8975118,111938185.19376081
25,765767745.1261957,122063776.33029929
26,1066226587.1736903,142504174.58934486
27,1263979737.9490952,171584994.6116297
28,1321632864.6351845,381938580.61817515
29,1223838378.7104456,406228352.53771263
30,1242156367.4541507,520155152.5077872
31,1138744621.1316996,514617892.50198126
32,1066280285.784239,627983335.5308663
33,962871245.3071471,613168966.1692269
34,1113767811.9318204,673426788.9775953
35,1098323387.262183,631941178.0611193
36,1113843141.4100266,732378819.3618747
37,1098402589.2470179,695325230.3485414
38,1194827846.4281762,764479866.0661861
39,1320157216.0972934,717210930.4579146
40,1558062883.9933572,6153352796.624131
41,1875702648.1909635,5922719333.982157
42,3780511126.1698475,3764514258.224684
43,3647282057.056065,3327283433.8771143
44,3470483959.3663287,2910245562.5656996
45,3470021587.4853067,2653303737.051214
46,3290863791.1307883,2861209294.9806995
47,3469741011.3392944,2488409878.744161
48,3469628572.767222,2410549557.182623
49,3469661555.258607,2438817713.533917
50,3768776960.751502,2491920101.1077166
51,3424225170.47727,2604895412.4001684
52,2707016175.96421,2907306123.753632
53,2619134280.8847113,2968688823.5448437
54,2081788797.782725,3528991771.0191426
55,1994049344.7340088,3638657415.403858
56,1257684974.1970274,7886613.033970551
57,1079971847.027216,7886202.540360862
58,1037384884.71572,23317704.339332804
59,1043036066.966352,46283390.37878302
60,1041640848.5226359,51665848.10971905
61,1043063520.5784855,67702874.04566912
62,1085673214.9039316,84621640.24453366
63,1264807446.350354,95551019.14180584
64,1548813230.7769403,4503916302.51997
65,1871111889.467961,5027623405.795013
66,3779600929.5921907,3367717433.353199
67,3646575577.4378433,2890140397.2395253
68,3469726999.587442,2443306784.084177
69,3469003087.80819,2020050261.7284563
70,3289204521.934571,1807344631.3757546
71,3467979779.2964544,1341485770.7475138
72,3467687206.3683667,1119142992.5897613
73,3467636778.031207,1089224365.83188
74,3766757238.726276,1159774510.5477283
75,3422306919.9625454,1389096917.592121
76,2705050611.23124,1699193664.1247194
77,2617228487.530052,1794522923.0877037
78,2079430924.7410889,2112847423.7336614
79,1991724768.83039,2305248710.023579
80,1257684980.8011146,7886418.137766399
81,1079971853.96733,15700322.100575786
82,1035971943.081093,7885969.9318729965
83,1035971938.7952813,7886271.259387402
84,1035971942.1890718,7886569.46990442
85,1040204514.8258619,36411446.49621181
86,1087035395.22181,49953718.78199652
87,1263346166.9034762,53721175.5881582
88,1545581251.3576887,3550020778.245354
89,1868016904.0069087,3707805693.289989
90,3777772772.512287,2429529106.588162
91,3644981051.3943315,1993853450.4764626
92,3468160209.685577,1451887094.2577326
93,3467662778.8838105,1098300040.6366472
94,3288245463.347527,1121119348.5220835
95,3467380672.475029,887058435.618206
96,3467261870.224649,795873124.9529132
97,3467251384.433412,786330901.3290337
98,3766361319.513501,864413815.0096706
99,3421798916.4118776,1019008928.9356245
100,2704452544.0370946,1279440870.7065873
101,2616589584.1109123,1347762408.7438874
102,2078788397.3655164,1685604288.874111
103,1991114165.4645605,1900293509.5684834
104,1257684992.256603,15700560.772865586
105,1079971854.2715588,7886308.455569968
106,1035971944.9597232,7886638.900287462
107,1035971948.699387,7885634.7631738745
108,1035971952.4009846,15700198.426619384
109,1038794723.001607,22792794.80370133
110,1085621868.2197187,41457564.58525551
111,1264769127.7070184,70944581.4731058
112,1545180938.541238,3338510349.0171733
113,1867382207.0725622,3339658479.9507732
114,3776994855.36719,1931363127.5368395
115,3643987466.1408386,1276908754.2184534
116,3471259766.053759,945814886.632622
117,3480374071.5433125,792687051.7762868
118,3304827304.8681393,839852114.9201033
119,3483037049.528208,596688093.2119013
120,3476937129.2800198,375259612.3944036
121,3468518085.405832,395258189.72195566
122,3765969093.654979,547533891.0433335
123,3421413099.546574,717055784.6365316
124,2703980669.3273273,906184467.0874157
125,2616081206.962875,966686667.0908854
126,2078135074.7119944,1213185382.6580126
127,1990254251.108213,1286873063.7000751
128,1257684989.3347027,7885549.397305054
129,1079971861.5109558,7885856.324522138
130,1035971957.9993829,15700695.621129714
131,1035971951.984998,7885519.942815355
132,1035971949.6436033,7885838.886420749
133,1035971956.3915292,7886160.140381799
134,1081381703.0667775,22175743.914700735
135,1264738915.110204,47828709.00776394
136,1543445068.117412,2669923166.4453707
137,1865443542.0820277,2194703690.8140364
138,3775775092.310898,1088546039.7654219
139,3643389677.4830008,840592416.8458297
140,3467419394.0041614,845419697.2204257
141,3467349646.6913543,847561603.665702
142,3288060634.004264,960652304.2389784
143,3467322337.6966205,822913338.3916407
144,3467217905.6868167,742430014.7400107
145,3467185679.492865,718349017.9526627
146,3766368254.1471562,856193333.6321857
147,3421897613.779639,1078927693.1327987
148,2704563670.244418,1344856670.8256433
149,2616622116.872271,1366207065.3703384
150,2078631069.183535,1556744743.0932703
151,1990702299.0739937,1579985327.4829535
152,1257684999.382125,7886788.496183672
153,1079971862.138035,7885785.51644052
154,856545343.9602287,7886127.168663416
155,856545346.1270127,15701271.864723329
156,856545337.3285974,7885811.5270277755
157,856545338.38841,7886143.732579945
158,903365647.0915028,20952584.47833185
159,994192284.1719902,42887038.44401448
160,1543423526.3292487,2681507133.077143
161,1506493709.0312858,2101897650.3608847
162,2340561193.9774375,1189808000.1938784
163,2208239540.5297437,1001061431.355981
164,2035508849.1320155,1062068307.0685177
165,2043307775.572054,1024293184.6129943
166,2047929201.2181337,990071721.3585278
167,2047644965.9747217,893542184.703964
168,1143878868.0522218,895661894.5931844
169,1136918047.6406775,893623619.6156907
170,1477436793.2196963,1232770987.4094653
171,1433371995.5083213,1754989074.1021917
172,1252548175.0423079,7893096.231152602
173,1164548349.5630748,15715147.72679646
174,1164548356.8142962,15715226.07885491
175,1076552153.7919924,15728848.42878348
176,988545078.262851,7885546.2124984395
